lbs,feet,C,degrees,kias,kias
weight,altitude,OAT,flaps,v_r,v_2
57320,4000,20,15,114,114
61729,4000,20,15,119,119
63934,4000,20,15,121,121
39683,6000,20,15,98,103
44092,6000,20,15,98,104
48501,6000,20,15,104,105
52910,6000,20,15,109,113
57320,6000,20,15,114,114
61729,6000,20,15,119,119
63934,6000,20,15,122,122
39683,8000,20,15,98,103
44092,8000,20,15,98,104
48501,8000,20,15,104,105
52910,8000,20,15,110,111
57320,8000,20,15,115,115
61729,8000,20,15,120,120
63934,8000,20,15,123,123
39683,10000,20,15,98,103
44092,10000,20,15,99,104
48501,10000,20,15,104,105
52910,10000,20,15,110,111
57320,10000,20,15,115,115
61729,10000,20,15,120,120
63934,10000,20,15,123,123
