lbs,delta_c,type,ft,kias,percent,lb/hr
weight,isa,cruise,alt,speed,trq,fuel_flow
54000,10,HS,6000,245,48.3,2360
54000,10,HS,10000,282,73.4,2929
54000,10,HS,14000,278,75.3,2886
54000,10,HS,18000,260,67.2,2547
54000,10,HS,22000,243,60.9,2286
54000,10,HS,25000,227,54.9,2053
58000,-10,LR,6000,232,42.3,2139
58000,-10,LR,10000,225,41.8,1993
58000,-10,LR,14000,226,44.8,1938
58000,-10,LR,18000,216,43.6,1790
58000,-10,LR,22000,205,42.1,1668
58000,-10,LR,25000,203,43.6,1657
58000,-10,INT,6000,236,45.5,2234
58000,-10,INT,10000,251,55.1,2346
58000,-10,INT,14000,253,58.8,2326
58000,-10,INT,18000,249,59.6,2260
58000,-10,INT,22000,234,55.1,2044
58000,-10,INT,25000,225,52.9,1941
58000,-10,HS,6000,245,47.6,2294
58000,-10,HS,10000,282,71.3,2797
58000,-10,HS,14000,284,77.3,2875
58000,-10,HS,18000,283,82.3,3006
58000,-10,HS,22000,264,73.2,2670
58000,-10,HS,25000,247,65,2366
58000,0,LR,6000,231,42.7,2169
58000,0,LR,10000,225,42.6,2034
58000,0,LR,14000,224,44.7,1959
58000,0,LR,18000,217,44.7,1839
58000,0,LR,22000,204,42.8,1704
58000,0,LR,25000,203,44.5,1704
58000,0,INT,6000,236,46.1,2272
58000,0,INT,10000,251,56.1,2403
58000,0,INT,14000,253,59.7,2380
58000,0,INT,18000,243,57.7,2230
58000,0,INT,22000,228,53.4,2020
58000,0,INT,25000,219,51.5,1914
58000,0,HS,6000,245,48.4,2338
58000,0,HS,10000,282,72.7,2874
58000,0,HS,14000,284,78.9,2962
58000,0,HS,18000,272,75.1,2785
58000,0,HS,22000,253,67,2477
58000,0,HS,25000,236,60,2212
58000,10,LR,6000,229,42.5,2184
58000,10,LR,10000,224,43,2065
58000,10,LR,14000,224,45.5,2006
58000,10,LR,18000,216,45.3,1879
58000,10,LR,22000,203,43.5,1745
58000,10,LR,25000,201,45,1741
58000,10,INT,6000,236,46.8,2313
58000,10,INT,10000,251,56.9,2451
58000,10,INT,14000,248,58.1,2358
58000,10,INT,18000,236,55.2,2181
58000,10,INT,22000,221,51.3,1984
58000,10,INT,25000,213,49.8,1887
58000,10,HS,6000,245,49.2,2385
58000,10,HS,10000,282,74.1,2950
58000,10,HS,14000,277,75.2,2883
58000,10,HS,18000,258,67.1,2542
58000,10,HS,22000,241,60.8,2283
58000,10,HS,25000,224,54.6,2047
62000,-10,LR,6000,245,48.6,2323
62000,-10,LR,10000,282,72,2820
62000,-10,LR,14000,284,78.1,2902
62000,-10,LR,18000,282,82.2,3003
62000,-10,LR,22000,262,72.5,2646
62000,-10,LR,25000,244,64.7,2357
62000,-10,INT,6000,237,46.7,2267
62000,-10,INT,10000,254,57.6,2412
62000,-10,INT,14000,256,61.5,2406
62000,-10,INT,18000,249,60.8,2294
62000,-10,INT,22000,235,57.1,2107
62000,-10,INT,25000,227,55.5,2029
62000,-10,HS,6000,245,48.6,2323
62000,-10,HS,10000,282,72,2820
62000,-10,HS,14000,284,78.1,2902
62000,-10,HS,18000,282,82.2,3003
62000,-10,HS,22000,262,72.5,2646
62000,-10,HS,25000,244,64.7,2357
62000,0,LR,6000,233,44.5,2225
62000,0,LR,10000,230,45.7,2125
62000,0,LR,14000,230,48.6,2063
62000,0,LR,18000,217,46.4,1888
62000,0,LR,22000,207,45.8,1795
62000,0,LR,25000,208,48.2,1815
62000,0,INT,6000,237,47.6,2315
62000,0,INT,10000,254,58.4,2464
62000,0,INT,14000,255,62.4,2462
62000,0,INT,18000,243,59,2268
62000,0,INT,22000,228,55,2069
62000,0,INT,25000,220,53.8,1994
62000,0,HS,6000,245,49.4,2365
62000,0,HS,10000,282,73.4,2897
62000,0,HS,14000,284,79.7,2991
62000,0,HS,18000,270,75,2783
62000,0,HS,22000,251,66.8,2471
62000,0,HS,25000,233,59.7,2204
62000,10,LR,6000,232,44.8,2253
62000,10,LR,10000,227,45.4,2141
62000,10,LR,14000,229,48.9,2098
